index,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,Provider SSA County Code,Provider County Name,Ownership Type,Number of Certified Beds,Number of Residents in Certified Beds,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid services,Continuing Care Retirement Community,Special Focus Facility,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,RN Staffing Rating,RN Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported CNA Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Expected CNA Staffing Hours per Resident per Day,Expected LPN Staffing Hours per Resident per Day,Expected RN Staffing Hours per Resident per Day,Expected Total Nurse Staffing Hours per Resident per Day,Adjusted CNA Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Cycle 1 Total Number of Health Deficiencies,Cycle 1 Number of Standard Health Deficiencies,Cycle 1 Number of Complaint Health Deficiencies,Cycle 1 Health Deficiency Score,Cycle 1 Standard Survey Health Date,Cycle 1 Number of Health Revisits,Cycle 1 Health Revisit Score,Cycle 1 Total Health Score,Cycle 2 Total Number of Health Deficiencies,Cycle 2 Number of Standard Health Deficiencies,Cycle 2 Number of Complaint Health Deficiencies,Cycle 2 Health Deficiency Score,Cycle 2 Standard Health Survey Date,Cycle 2 Number of Health Revisits,Cycle 2 Health Revisit Score,Cycle 2 Total Health Score,Cycle 3 Total Number of Health Deficiencies,Cycle 3 Number of Standard Health Deficiencies,Cycle 3 Number of Complaint Health Deficiencies,Cycle 3 Health Deficiency Score,Cycle 3 Standard Health Survey Date,Cycle 3 Number of Health Revisits,Cycle 3 Health Revisit Score,Cycle 3 Total Health Score,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date
6256,205154,WOODLAWN REHABILITATION & NURSING CENTER,59 WEST FRONT ST,SKOWHEGAN,ME,4976,2074749300,120,Somerset,For profit - Corporation,46,36,Medicare and Medicaid,False,WOODLAWN NURSING HOME INC,01/01/1994,False,False,False,False,Both,Yes,3.0,,2.0,,2.0,,4.0,,4.0,,,,2.88333,0.25833,0.90417,1.1625,4.04583,0.16806,2.53337,0.63726,1.06121,4.23183,2.79266,0.33646,0.63663,3.85373,2.0,0.0,2.0,12.0,04/27/2016,0.0,0.0,12.0,5.0,4.0,1.0,20.0,05/14/2015,1.0,0.0,20.0,10.0,5.0,6.0,80.0,08/07/2014,1.0,0.0,80.0,26.0,1,6,0,$0.00,0,0,"59 WEST FRONT ST
SKOWHEGAN, ME 04976
(44.760649, -69.721543)",09/01/2016
6257,205158,GREGORY WING OF ST ANDREWS VILLAGE,145 EMERY LANE,BOOTHBAY HARBOR,ME,4538,2076336996,70,Lincoln,Non profit - Corporation,30,22,Medicare and Medicaid,True,LINCOLNHEALTH,04/01/1994,False,False,False,False,Resident,Yes,5.0,,5.0,,5.0,,5.0,,5.0,,,,4.38409,0.49318,1.74773,2.24091,6.625,0.06591,2.61508,0.58491,0.82292,4.02291,4.11355,0.69983,1.58692,6.63816,0.0,0.0,0.0,0.0,12/02/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11/21/2014,0.0,0.0,0.0,3.0,3.0,0.0,16.0,11/21/2013,1.0,0.0,16.0,2.667,0,0,0,$0.00,0,0,"145 EMERY LANE
BOOTHBAY HARBOR, ME 04538
(43.862792, -69.628796)",09/01/2016
6258,205144,ST JOSEPH NURSING HOME,426 US ROUTE 1,FRENCHVILLE,ME,4745,2075436252,10,Aroostook,For profit - Corporation,43,41,Medicare and Medicaid,False,Legal Business Name Not Available,03/01/1994,False,False,False,False,Both,Yes,2.0,,1.0,,3.0,,5.0,,5.0,,,,4.22439,0.0,1.20366,1.20366,5.42805,0.13902,2.67773,0.65436,1.01052,4.34261,3.87096,0.0,0.89001,5.03842,2.0,2.0,2.0,8.0,02/12/2015,1.0,0.0,8.0,9.0,5.0,4.0,120.0,12/12/2013,1.0,0.0,120.0,6.0,6.0,0.0,44.0,10/26/2012,1.0,0.0,44.0,51.333,2,1,2,$19793.00,0,2,"426 US ROUTE
FRENCHVILLE, ME 04745
(47.280289, -68.423542)",09/01/2016
6259,205166,GORHAM HOUSE,50 NEW PORTLAND RD,GORHAM,ME,4038,2078395757,20,Cumberland,For profit - Corporation,69,65,Medicare and Medicaid,False,"GORHAM HEALTH CARE, INC",03/01/1994,False,False,False,False,Resident,Yes,4.0,,3.0,,4.0,,4.0,,5.0,,,,3.07154,0.38231,1.20846,1.59077,4.66231,0.15923,2.69177,0.6722,1.01756,4.38153,2.79989,0.47206,0.88738,4.28921,3.0,3.0,0.0,20.0,03/25/2016,1.0,0.0,20.0,1.0,1.0,0.0,4.0,02/12/2015,1.0,0.0,4.0,7.0,5.0,2.0,36.0,01/09/2014,1.0,0.0,36.0,17.333,0,1,0,$0.00,0,0,"50 NEW PORTLAND RD
GORHAM, ME 04038
(43.680571, -70.43387)",09/01/2016
6260,205165,SOMERSET REHABILITATION & LIVING CENTER,43 OWENS ST,BINGHAM,ME,4920,2076724041,120,Somerset,For profit - Corporation,21,17,Medicare and Medicaid,False,"NORTH COUNTRY ASSOCIATES, INC",03/01/1994,False,False,False,False,Resident,Yes,5.0,,5.0,,5.0,,5.0,,5.0,,,,3.50588,0.87647,1.24118,2.11765,5.62353,0.55,2.55895,0.5347,0.88025,3.9739,3.36168,1.36051,1.05358,5.70419,2.0,2.0,0.0,12.0,06/17/2015,1.0,0.0,12.0,0.0,0.0,0.0,0.0,05/22/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/10/2013,0.0,0.0,0.0,6.0,0,0,0,$0.00,0,0,"43 OWENS ST
BINGHAM, ME 04920
(45.05447, -69.878431)",09/01/2016
6261,205136,SOUTHRIDGE REHAB & LIVING CTR,10 MAY ST,BIDDEFORD,ME,4005,2072824138,150,York,For profit - Corporation,62,60,Medicare and Medicaid,False,"NORTH COUNTRY ASSOCIATES, INC",10/01/1993,False,False,False,False,Resident,Yes,4.0,,3.0,,2.0,,5.0,,5.0,,,,3.31167,0.35083,1.63667,1.9875,5.29917,0.15583,2.52552,0.66271,1.07981,4.26804,3.21749,0.43939,1.13253,5.00474,7.0,7.0,6.0,36.0,09/17/2015,1.0,0.0,36.0,2.0,2.0,2.0,16.0,09/18/2014,1.0,0.0,16.0,1.0,1.0,0.0,4.0,08/28/2013,2.0,2.0,6.0,24.333,0,1,0,$0.00,0,0,"10 MAY ST
BIDDEFORD, ME 04005
(43.491687, -70.467727)",09/01/2016
6262,205135,SONOGEE REHABILITATION & LIVING CENTER,131 EDEN ST,BAR HARBOR,ME,4609,2072885800,40,Hancock,For profit - Corporation,35,27,Medicare and Medicaid,False,"NORTH COUNTRY ASSOCIATES, INC",10/01/1993,False,False,False,False,Resident,Yes,2.0,,1.0,,3.0,,4.0,,5.0,,,,2.78148,0.29815,1.37222,1.67037,4.45185,0.06852,2.62601,0.60397,0.90379,4.13378,2.59897,0.40973,1.13446,4.34106,10.0,8.0,2.0,72.0,10/22/2015,2.0,36.0,108.0,4.0,4.0,0.0,28.0,11/06/2014,1.0,0.0,28.0,7.0,5.0,3.0,72.0,09/26/2013,1.0,0.0,72.0,75.333,0,5,1,$1625.00,1,2,"131 EDEN ST
BAR HARBOR, ME 04609
(44.40082, -68.231879)",09/01/2016
6263,205138,LAKEWOOD A CONTINUING CARE CENTER,220 KENNEDY MEMORIAL DR,WATERVILLE,ME,4901,2078735125,50,Kennebec,Non profit - Corporation,105,100,Medicare and Medicaid,False,EASTERN MAINE HEALTHCARE SYSTEMS,01/01/1993,False,False,False,False,Resident,Yes,4.0,,2.0,,5.0,,4.0,,4.0,,,,3.841,0.6985,0.973,1.6715,5.5125,0.089,2.58663,0.62541,1.04006,4.25211,3.6436,0.927,0.69902,5.22573,4.0,4.0,0.0,24.0,02/11/2016,1.0,0.0,24.0,3.0,2.0,2.0,16.0,03/12/2015,1.0,0.0,16.0,11.0,3.0,8.0,56.0,04/10/2014,1.0,0.0,56.0,26.667,1,2,0,$0.00,0,0,"220 KENNEDY MEMORIAL DR
WATERVILLE, ME 04901
(44.542951, -69.662969)",09/01/2016
6264,205137,LEDGEWOOD MANOR,"200 ROUTE 115, PO BOX 760",WINDHAM,ME,4062,2078922261,20,Cumberland,For profit - Individual,60,49,Medicare and Medicaid,False,LEDGEWOOD MANOR INC,01/01/1993,False,False,False,False,,Yes,5.0,,5.0,,4.0,,4.0,,4.0,,,,3.52449,0.44694,0.6398,1.08673,4.61123,0.00102,2.694,0.5457,0.79002,4.02972,3.21011,0.67979,0.60512,4.61258,0.0,0.0,0.0,0.0,12/17/2015,0.0,0.0,0.0,1.0,1.0,0.0,4.0,10/23/2014,1.0,0.0,4.0,1.0,1.0,0.0,8.0,09/19/2013,1.0,0.0,8.0,2.667,0,0,0,$0.00,0,0,"200 ROUTE 115
WINDHAM, ME 04062
(43.838995, -70.416104)",09/01/2016
6265,205185,MAINE VETERANS HOME - BANGOR,44 HOGAN RD,BANGOR,ME,4401,2079422333,90,Penobscot,Non profit - Corporation,120,106,Medicare and Medicaid,False,MAINE VETERANS' HOME,10/02/1995,False,False,False,False,Both,Yes,3.0,,2.0,,2.0,,4.0,,4.0,,,,3.0783,0.31462,1.17217,1.48679,4.56509,0.24198,2.55884,0.7238,1.2355,4.51814,2.95182,0.36078,0.7089,4.07279,3.0,3.0,0.0,20.0,04/07/2016,1.0,0.0,20.0,5.0,3.0,2.0,52.0,05/01/2015,1.0,0.0,52.0,3.0,3.0,3.0,20.0,05/02/2014,1.0,0.0,20.0,30.667,0,1,0,$0.00,0,0,"44 HOGAN RD
BANGOR, ME 04401
(44.816153, -68.738188)",09/01/2016
