index,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,Provider SSA County Code,Provider County Name,Ownership Type,Number of Certified Beds,Number of Residents in Certified Beds,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid services,Continuing Care Retirement Community,Special Focus Facility,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,RN Staffing Rating,RN Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported CNA Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Expected CNA Staffing Hours per Resident per Day,Expected LPN Staffing Hours per Resident per Day,Expected RN Staffing Hours per Resident per Day,Expected Total Nurse Staffing Hours per Resident per Day,Adjusted CNA Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Cycle 1 Total Number of Health Deficiencies,Cycle 1 Number of Standard Health Deficiencies,Cycle 1 Number of Complaint Health Deficiencies,Cycle 1 Health Deficiency Score,Cycle 1 Standard Survey Health Date,Cycle 1 Number of Health Revisits,Cycle 1 Health Revisit Score,Cycle 1 Total Health Score,Cycle 2 Total Number of Health Deficiencies,Cycle 2 Number of Standard Health Deficiencies,Cycle 2 Number of Complaint Health Deficiencies,Cycle 2 Health Deficiency Score,Cycle 2 Standard Health Survey Date,Cycle 2 Number of Health Revisits,Cycle 2 Health Revisit Score,Cycle 2 Total Health Score,Cycle 3 Total Number of Health Deficiencies,Cycle 3 Number of Standard Health Deficiencies,Cycle 3 Number of Complaint Health Deficiencies,Cycle 3 Health Deficiency Score,Cycle 3 Standard Health Survey Date,Cycle 3 Number of Health Revisits,Cycle 3 Health Revisit Score,Cycle 3 Total Health Score,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date
626,335837,MARIA REGINA RESIDENCE INC,1725 BRENTWOOD ROAD,BRENTWOOD,NY,11717,6312734500,700,Suffolk,Non profit - Corporation,188,175,Medicare and Medicaid,False,"MARIA REGINA RESIDENCE, INC.",02/26/2002,False,False,False,False,Both,Yes,5.0,,4.0,,5.0,,3.0,,3.0,,,,2.35229,0.90086,0.54657,1.44743,3.79972,0.05057,2.54569,0.60947,0.92853,4.08369,2.26729,1.22683,0.43983,3.7506,4.0,4.0,0.0,8.0,12/14/2015,1.0,0.0,8.0,2.0,2.0,0.0,8.0,01/02/2015,1.0,0.0,8.0,7.0,7.0,0.0,28.0,12/09/2013,1.0,0.0,28.0,11.333,0,0,0,$0.00,0,0,"1725 BRENTWOOD ROAD
BRENTWOOD, NY 11717
(40.772129, -73.246185)",09/01/2016
627,335848,KENDAL ON HUDSON,ONE KENDAL WAY,SLEEPY HOLLOW,NY,10591,9149221000,800,Westchester,Non profit - Corporation,42,25,Medicare and Medicaid,False,KENDAL ON HUDSON,06/15/2005,True,False,False,False,Both,Yes,5.0,,4.0,,5.0,,5.0,,5.0,,,,3.3,1.152,1.512,2.664,5.964,0.706,2.65219,0.61108,0.90432,4.16759,3.05303,1.5647,1.2493,5.76839,0.0,0.0,0.0,0.0,12/30/2015,0.0,0.0,0.0,2.0,2.0,0.0,12.0,10/06/2014,1.0,0.0,12.0,3.0,3.0,0.0,12.0,09/06/2013,1.0,0.0,12.0,6.0,0,0,0,$0.00,0,0,"ONE KENDAL WAY
SLEEPY HOLLOW, NY 10591
",09/01/2016
628,335854,FOX RUN AT ORCHARD PARK,ONE FOX RUN LANE,ORCHARD PARK,NY,14127,7166625001,240,Erie,Non profit - Church related,50,49,Medicare and Medicaid,False,"ORCHARD PARK CCRC, INC.",02/15/2008,True,False,False,False,Resident,Yes,2.0,,2.0,,4.0,,3.0,,2.0,,,,2.35816,1.04184,0.39082,1.43265,3.79082,0.1898,2.5293,0.55835,0.8217,3.90934,2.28768,1.54873,0.35539,3.9087,2.0,2.0,0.0,12.0,08/27/2015,1.0,0.0,12.0,5.0,5.0,1.0,28.0,01/29/2015,1.0,0.0,28.0,4.0,4.0,2.0,225.0,06/06/2014,1.0,0.0,225.0,52.833,1,1,1,$8315.00,0,1,"ONE FOX RUN LANE
ORCHARD PARK, NY 14127
",09/01/2016
629,335849,JEANNE JUGAN RESIDENCE,2999 SCHURZ AVENUE,BRONX,NY,10465,3473291800,20,Bronx,Non profit - Corporation,30,29,Medicare and Medicaid,False,HOME FOR THE AGED OF THE LITTLE SISTERS OF THE POOR OF THE CITY OF NY,04/20/2006,False,False,False,False,,Yes,5.0,,5.0,,5.0,,4.0,,3.0,,,,3.44655,1.26552,0.67241,1.93793,5.38448,0.06207,2.47352,0.68358,1.19035,4.34746,3.41893,1.53658,0.42208,4.99241,0.0,0.0,0.0,0.0,11/25/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11/25/2014,0.0,0.0,0.0,1.0,0.0,1.0,16.0,12/29/2013,0.0,0.0,16.0,2.667,0,1,0,$0.00,0,0,"2999 SCHURZ AVENUE
BRONX, NY 10465
(40.814921, -73.812683)",09/01/2016
630,335857,WILKINSON RESIDENTIAL HEALTH CARE FACILITY,4988 STATE HWY 30,AMSTERDAM,NY,12010,5188413572,380,Montgomery,Non profit - Corporation,160,159,Medicare and Medicaid,True,ST. MARY'S HEALTHCARE,06/17/2009,False,False,False,False,Resident,Yes,5.0,,4.0,,5.0,,3.0,,3.0,,,,2.4,1.1478,0.58805,1.73585,4.13585,0.07925,2.49357,0.64566,1.03004,4.16928,2.36162,1.4755,0.42658,3.99858,2.0,2.0,0.0,12.0,11/06/2015,1.0,0.0,12.0,1.0,1.0,0.0,8.0,10/08/2014,1.0,0.0,8.0,4.0,4.0,0.0,24.0,12/20/2013,1.0,0.0,24.0,12.667,0,0,0,$0.00,0,0,"4988 STATE HWY
AMSTERDAM, NY 12010
(42.95836, -74.185735)",09/01/2016
631,335858,WOODLAND POND AT NEW PALTZ,100 WOODLAND POND CIRCLE,NEW PALTZ,NY,12561,8452565910,740,Ulster,Non profit - Corporation,40,37,Medicare and Medicaid,False,KINGSTON REGIONAL SENIOR LIVING CORP.,03/25/2010,True,False,False,False,Both,Yes,5.0,,4.0,,5.0,,4.0,,3.0,,,,3.86351,1.28649,0.57027,1.85676,5.72027,0.32432,2.55462,0.57833,0.98688,4.11983,3.71088,1.84633,0.43177,5.59679,3.0,3.0,0.0,12.0,03/01/2016,1.0,0.0,12.0,1.0,1.0,0.0,4.0,02/11/2015,1.0,0.0,4.0,3.0,3.0,0.0,12.0,02/26/2014,1.0,0.0,12.0,9.333,0,0,0,$0.00,0,0,"100 WOODLAND POND CIRCLE
NEW PALTZ, NY 12561
(41.758016, -74.061422)",09/01/2016
632,335859,GOOD SHEPHERD VILLAGE AT ENDWELL,14 VILLAGE DRIVE,ENDWELL,NY,13760,6077573102,30,Broome,Non profit - Corporation,32,30,Medicare and Medicaid,False,GOOD SHEPHERD VILLAGE AT ENDWELL INC,05/06/2010,True,False,False,False,Both,Yes,3.0,,2.0,,4.0,,5.0,,5.0,,,,2.45333,1.24167,1.115,2.35667,4.81,0.22833,2.66886,0.61596,0.98695,4.27178,2.25554,1.67313,0.84414,4.53877,10.0,10.0,0.0,60.0,06/11/2015,1.0,0.0,60.0,6.0,6.0,0.0,32.0,04/17/2014,1.0,0.0,32.0,9.0,9.0,0.0,48.0,04/10/2013,1.0,0.0,48.0,48.667,0,0,0,$0.00,0,0,"14 VILLAGE DRIVE
ENDWELL, NY 13760
(42.148016, -76.021107)",09/01/2016
633,335862,NEW YORK-PRESBYTERIAN / QUEENS T C U,56-45 MAIN STREET,FLUSHING,NY,11355,9999999991,590,Queens,Non profit - Corporation,16,9,Medicare,True,Legal Business Name Not Available,08/13/2012,False,False,False,False,,Yes,5.0,,5.0,,4.0,,5.0,,5.0,,,,1.42222,1.56111,3.22778,4.78889,6.21111,0.77778,2.26397,0.89402,1.89836,5.05635,1.54141,1.44932,1.27046,4.95147,0.0,0.0,0.0,0.0,03/17/2016,0.0,0.0,0.0,1.0,1.0,0.0,4.0,04/08/2015,1.0,0.0,4.0,0.0,0.0,0.0,0.0,05/16/2014,0.0,0.0,0.0,1.333,0,0,0,$0.00,0,0,"56 45 MAIN STREET
FLUSHING, NY 11355
",09/01/2016
634,335864,FLUSHING HOSPITAL MEDICAL CENTER T C U,45TH AVENUE AND PARSONS BOULEVARD,FLUSHING,NY,11355,7182066595,590,Queens,Non profit - Corporation,6,2,Medicare,True,Legal Business Name Not Available,08/12/2011,False,False,False,False,,Yes,5.0,,5.0,,3.0,,,Data Not Available,,Data Not Available,Data Not Available,Data Not Available,,,,,,,2.45108,1.04462,2.77688,6.27258,,,,,1.0,1.0,0.0,4.0,05/05/2016,1.0,0.0,4.0,0.0,0.0,0.0,0.0,04/08/2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05/16/2014,0.0,0.0,0.0,2.0,0,0,0,$0.00,0,0,"45TH AVENUE
FLUSHING, NY 11355
",09/01/2016
635,335865,"SAMARITAN SENIOR VILLAGE, INC",22691 CAMPUS DRIVE,WATERTOWN,NY,13601,3157826800,330,Jefferson,Non profit - Corporation,168,166,Medicare and Medicaid,False,SAMARITAN SENIOR VILLAGE INC,04/05/2013,False,False,False,False,Both,Yes,1.0,,2.0,,3.0,,1.0,,1.0,,,,2.30241,0.9512,0.3256,1.27681,3.57921,0.10331,2.58507,0.59608,0.91838,4.09953,2.18541,1.32448,0.26491,3.51929,10.0,10.0,6.0,56.0,07/23/2015,1.0,0.0,56.0,5.0,5.0,0.0,20.0,04/30/2014,1.0,0.0,20.0,0.0,0.0,0.0,0.0,04/05/2013,0.0,0.0,0.0,34.667,0,1,0,$0.00,0,0,"22691 CAMPUS DRIVE
WATERTOWN, NY 13601
",09/01/2016
